,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,sidi ali,dz,36.1,0.42,59.22,96.0,44.0,2.71
1,naranjal,py,-25.97,-55.19,59.0,93.0,90.0,9.17
2,portland,au,45.52,-122.67,69.8,35.0,20.0,3.38
3,qaanaaq,gl,77.48,-69.36,26.91,92.0,36.0,2.71
5,soyo,ao,-6.13,12.37,75.51,91.0,92.0,5.5
6,mahebourg,mu,-20.41,57.7,68.0,88.0,75.0,5.82
7,padang,id,-0.92,100.36,84.96,100.0,0.0,0.69
8,zyryanka,ru,65.73,150.89,47.8,52.0,32.0,2.93
9,puerto ayora,ec,-0.74,-90.35,72.81,100.0,0.0,10.2
10,cabo san lucas,mx,22.89,-109.91,91.4,22.0,5.0,11.41
11,norman wells,ca,65.28,-126.83,64.4,45.0,75.0,4.7
13,ponta do sol,pt,-20.63,-46,51.12,81.0,0.0,2.71
14,constitucion,mx,23.99,-104.67,93.2,5.0,75.0,10.29
15,pevek,ru,69.7,170.27,37.08,83.0,0.0,22.17
16,cape town,za,-33.93,18.42,57.2,71.0,75.0,20.8
17,sibu,my,2.29,111.83,78.8,88.0,75.0,3.36
21,aksu,cn,52.04,76.93,60.8,63.0,0.0,8.95
22,pangoa,pe,-12.12,-73,63.72,100.0,56.0,1.59
23,exeter,us,50.73,-3.53,59.0,93.0,75.0,1.12
24,rikitea,pf,-23.12,-134.97,76.6,100.0,80.0,12.44
25,avarua,ck,-21.21,-159.78,75.2,57.0,75.0,14.99
26,albany,au,42.65,-73.75,75.2,78.0,90.0,16.11
27,warrington,us,53.39,-2.59,60.8,93.0,75.0,3.36
28,namibe,ao,-15.19,12.15,71.91,100.0,0.0,11.65
29,punta arenas,cl,-53.16,-70.91,39.2,86.0,20.0,16.11
30,busselton,au,-33.64,115.35,60.4,100.0,0.0,4.94
32,wuchang,cn,44.93,127.16,85.95,40.0,0.0,16.13
33,rawson,ar,-43.3,-65.11,25.3,86.0,0.0,5.73
35,yellowknife,ca,62.45,-114.38,64.4,43.0,75.0,11.41
36,lata,sb,30.78,78.62,61.3,97.0,8.0,1.48
38,clearwater,us,27.97,-82.8,82.4,83.0,1.0,6.51
39,sabinas,mx,27.85,-101.13,90.55,31.0,0.0,13.0
40,mayo,ca,63.59,-135.9,48.2,93.0,90.0,3.36
41,san cristobal,ec,-0.39,-78.55,55.4,82.0,40.0,8.05
43,ribeira grande,pt,38.52,-28.7,68.85,95.0,92.0,15.46
44,ushuaia,ar,-54.81,-68.31,42.8,70.0,40.0,26.4
45,yantal,ru,56.85,105.25,56.89,60.0,36.0,8.08
46,mukhen,ru,48.19,136.14,75.33,66.0,68.0,3.15
48,kaitangata,nz,-46.28,169.85,42.21,77.0,68.0,7.52
49,hay river,ca,60.82,-115.79,66.2,37.0,90.0,12.75
50,burns lake,ca,54.23,-125.76,44.37,100.0,92.0,2.59
52,hermanus,za,-34.42,19.24,50.4,93.0,44.0,11.21
53,georgetown,sh,6.8,-58.16,77.0,94.0,75.0,4.7
54,westport,ie,53.8,-9.52,52.3,99.0,32.0,2.15
55,upernavik,gl,72.79,-56.15,29.35,92.0,48.0,15.57
57,sibolga,id,1.74,98.78,79.83,84.0,0.0,1.7
59,nha trang,vn,12.24,109.19,80.46,100.0,88.0,3.38
60,barrow,us,-38.31,-60.23,40.41,87.0,44.0,6.06
61,namatanai,pg,-3.66,152.44,82.81,100.0,48.0,5.39
63,narsaq,gl,60.91,-46.05,42.8,75.0,92.0,4.7
65,nanortalik,gl,60.14,-45.24,35.46,93.0,92.0,7.63
68,peniche,pt,39.36,-9.38,59.0,87.0,75.0,13.87
69,tuatapere,nz,-46.13,167.69,42.12,100.0,88.0,1.03
70,atuona,pf,-9.8,-139.03,79.93,100.0,0.0,12.77
71,corinto,ni,-18.36,-44.46,58.86,81.0,0.0,4.16
73,chokurdakh,ru,70.62,147.9,32.31,100.0,88.0,16.46
75,saint-philippe,re,45.36,-73.48,78.8,65.0,75.0,12.75
76,new norfolk,au,-42.78,147.06,48.2,76.0,75.0,12.75
77,chifeng,cn,42.27,118.96,80.46,32.0,32.0,10.76
78,vostok,ru,46.45,135.83,67.6,74.0,92.0,2.71
79,mataura,pf,-46.19,168.86,37.17,83.0,80.0,4.16
81,concordia,mx,-31.4,-58.02,48.42,99.0,76.0,15.23
82,takoradi,gh,4.89,-1.75,79.11,100.0,36.0,5.95
86,mareeba,au,-16.99,145.42,75.2,53.0,20.0,13.87
87,bonnyville,ca,54.27,-110.74,48.2,93.0,90.0,8.05
90,sola,vu,62.78,29.36,53.6,81.0,0.0,4.7
91,praia da vitoria,pt,38.73,-27.07,66.2,88.0,40.0,11.21
95,tautira,pf,-17.73,-149.15,82.4,65.0,75.0,14.99
96,fortuna,us,38.18,-1.13,66.2,82.0,0.0,2.93
98,hobart,au,-42.88,147.33,48.2,76.0,75.0,12.75
99,nibbar,tn,36.29,8.77,64.4,77.0,20.0,2.24
100,fukue,jp,35.03,136.69,69.8,73.0,20.0,6.93
101,guerrero negro,mx,27.97,-114.04,63.19,80.0,0.0,10.98
102,khatanga,ru,71.98,102.47,40.06,100.0,44.0,9.98
106,leningradskiy,ru,69.38,178.42,34.92,89.0,88.0,21.72
110,olinda,br,-2.03,-79.75,73.4,83.0,40.0,13.87
111,tasiilaq,gl,65.61,-37.64,33.8,86.0,68.0,8.05
113,buta,cd,2.79,24.73,72.72,96.0,0.0,2.04
115,bredasdorp,za,-34.53,20.04,44.6,81.0,64.0,6.93
117,brae,gb,60.4,-1.35,51.8,93.0,44.0,5.82
120,jamestown,sh,-33.21,138.6,58.86,51.0,64.0,4.38
124,haines junction,ca,60.75,-137.51,41.58,91.0,92.0,2.48
125,geraldton,ca,49.72,-86.95,50.0,46.0,75.0,11.41
126,codrington,ag,-28.95,153.24,64.81,61.0,0.0,5.61
128,bluff,nz,-23.58,149.07,68.85,31.0,0.0,4.72
129,coahuayana,mx,18.62,-100.35,76.86,59.0,0.0,2.15
131,carnarvon,au,-30.97,22.13,35.37,88.0,88.0,8.75
134,san patricio,mx,-26.98,-56.83,54.27,98.0,100.0,7.74
136,vaini,to,15.34,74.49,76.86,95.0,36.0,2.37
137,banyo,cm,6.75,11.81,64.9,97.0,88.0,3.15
138,dikson,ru,73.51,80.55,26.82,100.0,44.0,12.55
139,nikolskoye,ru,59.7,30.79,53.6,66.0,0.0,6.71
140,mehamn,no,71.03,27.85,40.86,99.0,92.0,13.56
141,mar del plata,ar,-46.43,-67.52,20.7,100.0,0.0,4.5
